text,similarity,embedding
cat,0.28455761075019836,"[0.01, 0.01, 0.0]"
olive,0.2601158916950226,"[-0.02, 0.04, 0.01]"
gray,0.25982168316841125,"[-0.0, 0.03, 0.0]"
surprised,0.255055695772171,"[0.0, -0.02, -0.02]"
black,0.2542126178741455,"[0.02, 0.02, -0.0]"
angry,0.2511959969997406,"[-0.01, 0.02, -0.03]"
serious,0.250000923871994,"[0.01, 0.03, -0.0]"
cyan,0.24828080832958221,"[0.01, 0.04, 0.05]"
white,0.2482559084892273,"[-0.01, 0.02, -0.04]"
elegant,0.24779187142848969,"[0.03, 0.04, -0.0]"
green,0.24565628170967102,"[0.01, 0.02, 0.03]"
tiger,0.2445022463798523,"[-0.0, 0.03, 0.01]"
maroon,0.243885800242424,"[0.02, 0.05, 0.02]"
brown,0.2438359558582306,"[0.01, 0.02, -0.02]"
magenta,0.24172943830490112,"[0.0, 0.05, 0.09]"
beauty,0.2415369749069214,"[0.02, 0.01, -0.0]"
socks,0.24046625196933746,"[-0.01, 0.01, -0.02]"
energetic,0.2396440953016281,"[0.02, 0.05, -0.02]"
boots,0.23899154365062714,"[-0.0, 0.02, -0.02]"
mouse,0.23868824541568756,"[-0.04, 0.02, -0.0]"
sophistication,0.23780368268489838,"[-0.0, 0.03, 0.0]"
confident,0.23720313608646393,"[0.02, 0.03, 0.0]"
yellow,0.2371060848236084,"[0.02, 0.02, 0.0]"
person,0.2367677092552185,"[-0.0, 0.02, -0.0]"
aqua,0.23654210567474365,"[-0.03, 0.02, 0.03]"
silver,0.2356462925672531,"[-0.04, 0.02, 0.02]"
playful,0.23561662435531616,"[-0.02, 0.03, -0.02]"
mysterious,0.23418359458446503,"[0.01, 0.04, 0.02]"
pink,0.23412945866584778,"[-0.03, 0.01, 0.03]"
tense,0.23388804495334625,"[-0.0, 0.03, 0.02]"
calm,0.23271702229976654,"[0.02, 0.02, -0.02]"
anxious,0.23268519341945648,"[-0.0, 0.01, -0.0]"
order,0.23256249725818634,"[0.0, 0.02, 0.0]"
contemporary,0.23166726529598236,"[0.0, 0.05, -0.02]"
modern,0.23117831349372864,"[0.02, 0.03, -0.03]"
serene,0.2310991883277893,"[0.02, 0.01, 0.0]"
artistic,0.23086829483509064,"[0.01, 0.01, -0.01]"
purple,0.23067507147789001,"[0.02, 0.02, 0.04]"
realistic,0.2304903268814087,"[0.0, 0.04, -0.0]"
professional,0.22974032163619995,"[-0.0, 0.02, -0.01]"
melancholy,0.22969089448451996,"[-0.01, 0.03, 0.02]"
hate,0.2296750545501709,"[-0.0, 0.02, -0.01]"
rat,0.22938822209835052,"[-0.01, 0.02, -0.01]"
rustic,0.22827893495559692,"[0.02, 0.02, -0.02]"
blue,0.2281365841627121,"[0.02, 0.0, 0.02]"
dog,0.22791939973831177,"[0.01, 0.03, 0.01]"
orange,0.22789064049720764,"[-0.02, 0.06, -0.04]"
dramatic,0.22776725888252258,"[-0.0, 0.04, 0.01]"
red,0.22758278250694275,"[0.01, 0.03, 0.01]"
casual,0.22737424075603485,"[-0.01, 0.03, 0.0]"
sneakers,0.22703763842582703,"[-0.02, 0.01, -0.01]"
sad,0.22702181339263916,"[-0.02, 0.02, 0.02]"
rabbit,0.22683526575565338,"[-0.03, 0.01, -0.01]"
lime,0.226695716381073,"[-0.01, 0.06, -0.02]"
justice,0.2262842357158661,"[0.01, 0.03, -0.01]"
retro,0.2256213277578354,"[0.01, 0.04, 0.01]"
necklace,0.2254987359046936,"[-0.03, 0.03, -0.02]"
ornate,0.2254326045513153,"[0.0, 0.04, -0.02]"
happy,0.22516369819641113,"[-0.0, 0.02, -0.01]"
peaceful,0.22506383061408997,"[0.0, 0.02, 0.0]"
elegance,0.22467809915542603,"[0.02, 0.04, -0.0]"
traditional,0.2236512452363968,"[-0.0, 0.04, -0.0]"
singing,0.22202807664871216,"[0.01, 0.02, -0.03]"
sweater,0.2218007594347,"[-0.0, 0.02, 0.0]"
owl,0.22142693400382996,"[0.0, 0.04, -0.01]"
abstract,0.22105015814304352,"[0.01, 0.02, 0.02]"
lion,0.2208842784166336,"[0.02, 0.02, 0.01]"
studying,0.22078987956047058,"[-0.01, -0.01, -0.01]"
excited,0.22073963284492493,"[0.03, 0.03, -0.01]"
glasses,0.22068005800247192,"[0.01, 0.05, -0.0]"
mouse,0.22030779719352722,"[-0.01, 0.02, -0.02]"
tie,0.22016479074954987,"[-0.02, 0.04, 0.0]"
cap,0.2201179563999176,"[-0.01, 0.05, -0.03]"
gold,0.2200402319431305,"[-0.0, 0.0, 0.01]"
scarf,0.21990349888801575,"[0.0, -0.0, -0.02]"
t-shirt,0.2186526209115982,"[0.02, 0.06, 0.02]"
simplicity,0.21823835372924805,"[0.01, -0.0, -0.01]"
earrings,0.21782374382019043,"[-0.0, -0.02, -0.03]"
climbing,0.21703487634658813,"[0.01, 0.02, -0.05]"
jeans,0.21690857410430908,"[0.04, 0.02, 0.05]"
formal,0.21679909527301788,"[0.01, -0.01, -0.01]"
complexity,0.21640558540821075,"[-0.01, 0.05, -0.01]"
minimalist,0.21613101661205292,"[-0.01, 0.01, -0.01]"
love,0.21611683070659637,"[0.0, 0.02, 0.0]"
lie,0.21570459008216858,"[-0.01, 0.03, 0.02]"
eating,0.2155241221189499,"[-0.01, 0.02, -0.02]"
joyful,0.21529483795166016,"[0.02, 0.03, 0.0]"
vintage,0.2151939421892166,"[0.01, 0.02, 0.0]"
classic,0.21496769785881042,"[0.01, 0.04, -0.01]"
fish,0.2148071676492691,"[-0.0, 0.01, -0.0]"
peace,0.2142706662416458,"[-0.0, 0.03, -0.01]"
roughness,0.21387973427772522,"[-0.02, 0.03, 0.02]"
walking,0.21359632909297943,"[-0.01, -0.01, -0.02]"
bowl,0.21357901394367218,"[0.0, 0.06, -0.03]"
helmet,0.21355436742305756,"[-0.01, 0.01, -0.03]"
wolf,0.2132095992565155,"[0.01, -0.0, 0.02]"
riding,0.2131909430027008,"[-0.01, 0.05, -0.04]"
bird,0.21317346394062042,"[0.02, 0.04, -0.03]"
coat,0.21297262609004974,"[-0.02, 0.06, 0.01]"
cow,0.21256858110427856,"[0.02, 0.02, 0.0]"
horse,0.21202050149440765,"[0.01, 0.01, -0.0]"
romantic,0.2119756042957306,"[0.01, 0.04, -0.01]"
working,0.2117835432291031,"[-0.01, 0.01, -0.03]"
navy,0.2117234766483307,"[0.0, 0.02, -0.02]"
flying,0.21143358945846558,"[0.04, 0.04, -0.06]"
hamster,0.21127572655677795,"[0.0, 0.01, -0.01]"
hat,0.21119572222232819,"[0.01, 0.03, -0.05]"
ugliness,0.21091407537460327,"[0.0, 0.02, -0.0]"
spider,0.21084143221378326,"[0.03, 0.0, -0.02]"
freedom,0.21080245077610016,"[0.01, 0.01, -0.01]"
bee,0.21057012677192688,"[-0.02, 0.01, -0.0]"
fox,0.21049338579177856,"[-0.01, 0.02, 0.0]"
jumping,0.21033917367458344,"[0.03, 0.01, -0.03]"
snake,0.2100200057029724,"[0.0, 0.03, 0.01]"
pants,0.2099645584821701,"[0.02, 0.05, 0.05]"
dancing,0.20944277942180634,"[0.04, 0.03, -0.01]"
creative,0.20921671390533447,"[0.0, -0.0, 0.0]"
chicken,0.2085331678390503,"[0.01, 0.04, -0.05]"
swimming,0.20847906172275543,"[0.03, 0.02, -0.04]"
running,0.20770880579948425,"[0.0, 0.0, -0.02]"
ring,0.2069312483072281,"[-0.05, 0.04, 0.01]"
bear,0.20685964822769165,"[0.02, -0.01, 0.01]"
sleeping,0.20670220255851746,"[0.0, 0.04, -0.02]"
frog,0.20591989159584045,"[-0.0, 0.01, -0.02]"
shirt,0.2055170089006424,"[0.02, 0.06, 0.01]"
exercising,0.20528537034988403,"[-0.01, 0.01, 0.0]"
futuristic,0.20492307841777802,"[0.01, 0.02, -0.01]"
zebra,0.20429816842079163,"[-0.02, -0.01, 0.06]"
gloves,0.20418037474155426,"[-0.01, 0.05, -0.0]"
duck,0.20381033420562744,"[0.02, 0.03, -0.05]"
watch,0.20363689959049225,"[-0.0, 0.01, -0.01]"
turtle,0.20360031723976135,"[0.02, 0.04, -0.03]"
playing,0.20357197523117065,"[-0.04, 0.02, -0.04]"
reading,0.2025267332792282,"[0.0, -0.01, 0.01]"
giraffe,0.20248839259147644,"[0.03, 0.0, -0.03]"
butterfly,0.20222018659114838,"[0.0, -0.02, -0.01]"
progress,0.2021312415599823,"[-0.01, -0.0, -0.01]"
orange,0.20192043483257294,"[0.01, 0.06, -0.04]"
shoes,0.20125925540924072,"[-0.02, -0.01, -0.02]"
bracelet,0.20121195912361145,"[-0.02, -0.01, 0.03]"
shorts,0.2007768452167511,"[-0.02, 0.03, 0.0]"
writing,0.2006683051586151,"[-0.01, 0.01, 0.01]"
driving,0.2005404382944107,"[-0.01, 0.01, 0.0]"
dress,0.19899295270442963,"[0.0, 0.01, 0.0]"
sheep,0.19770869612693787,"[0.04, 0.01, -0.05]"
eagle,0.19765342772006989,"[0.0, 0.05, -0.04]"
woman,0.19760724902153015,"[0.02, 0.02, -0.02]"
dolphin,0.19735187292099,"[0.01, 0.01, -0.0]"
chaos,0.19627580046653748,"[-0.01, 0.03, 0.0]"
sunglasses,0.19590838253498077,"[0.02, 0.04, -0.0]"
surfing,0.19577085971832275,"[0.02, 0.01, -0.02]"
war,0.1957281231880188,"[-0.02, 0.02, 0.01]"
cell phone,0.1954081803560257,"[0.01, 0.04, -0.04]"
jacket,0.1948603242635727,"[-0.0, 0.07, 0.01]"
nostalgic,0.19437454640865326,"[0.0, 0.04, 0.01]"
elephant,0.19411693513393402,"[0.0, 0.03, 0.01]"
skirt,0.19408448040485382,"[-0.03, 0.07, 0.01]"
cup,0.1919219195842743,"[0.02, 0.05, -0.02]"
apple,0.1917053908109665,"[0.02, 0.06, -0.02]"
man,0.19131091237068176,"[0.01, 0.02, -0.01]"
tie,0.19117389619350433,"[0.01, 0.03, -0.0]"
sandals,0.1906869262456894,"[-0.0, -0.03, -0.01]"
shark,0.19039641320705414,"[0.01, 0.01, 0.01]"
cooking,0.19039541482925415,"[-0.05, -0.01, -0.04]"
spoon,0.1903061866760254,"[-0.01, 0.04, -0.05]"
chair,0.1902388632297516,"[0.01, 0.01, -0.0]"
kite,0.1900336742401123,"[0.05, 0.04, -0.04]"
tradition,0.18909895420074463,"[0.01, 0.02, 0.0]"
belt,0.1889270693063736,"[-0.02, 0.04, 0.05]"
innovation,0.18652057647705078,"[-0.01, 0.01, -0.01]"
truth,0.18628543615341187,"[-0.0, 0.03, -0.0]"
tennis racket,0.18461981415748596,"[-0.02, 0.02, -0.03]"
fork,0.18456047773361206,"[0.0, 0.03, 0.01]"
handbag,0.1843712478876114,"[0.03, 0.01, -0.01]"
whale,0.18436411023139954,"[0.03, 0.03, -0.01]"
laptop,0.18419942259788513,"[0.03, 0.02, -0.01]"
remote,0.1832582652568817,"[0.02, 0.01, -0.04]"
donut,0.18304497003555298,"[0.06, 0.04, -0.02]"
suitcase,0.18264037370681763,"[0.01, 0.01, 0.0]"
frisbee,0.1824643760919571,"[0.02, 0.01, -0.04]"
bottle,0.18234921991825104,"[0.03, 0.04, -0.06]"
table,0.18221528828144073,"[0.02, 0.05, -0.01]"
carrot,0.18160660564899445,"[-0.01, 0.05, -0.02]"
skis,0.18030788004398346,"[0.03, 0.03, -0.04]"
knife,0.18019352853298187,"[-0.0, 0.01, 0.01]"
sports ball,0.17949317395687103,"[0.03, 0.04, -0.03]"
book,0.17924764752388,"[0.04, 0.03, -0.01]"
scissors,0.1777723878622055,"[0.01, 0.02, 0.03]"
bed,0.17740735411643982,"[0.02, 0.05, -0.02]"
banana,0.17704692482948303,"[0.05, 0.04, 0.01]"
sandwich,0.1765301525592804,"[0.06, 0.02, -0.04]"
clock,0.17445704340934753,"[0.03, 0.02, -0.01]"
baseball bat,0.1742103397846222,"[0.02, 0.06, -0.01]"
surfboard,0.17400164902210236,"[0.04, 0.04, -0.05]"
teddy bear,0.17303696274757385,"[0.03, 0.02, -0.03]"
toothbrush,0.17246507108211517,"[-0.0, 0.04, 0.03]"
toilet,0.1724001169204712,"[-0.02, 0.06, -0.03]"
cake,0.17117978632450104,"[0.04, 0.04, -0.05]"
keyboard,0.17054390907287598,"[0.02, 0.03, -0.02]"
skateboard,0.16933304071426392,"[0.02, 0.02, -0.04]"
