text,similarity
hat,0.16518980264663696
cap,0.11290410161018372
helmet,0.10643168538808823
angry,0.0610964410007
roughness,0.06024685502052307
exercising,0.06020363047719002
tense,0.05993453413248062
tennis racket,0.056485265493392944
writing,0.05621010810136795
hate,0.05505255609750748
frisbee,0.05504913628101349
sports ball,0.05492834374308586
spider,0.05404156446456909
sneakers,0.05306408554315567
navy,0.05206674709916115
shark,0.050727423280477524
mysterious,0.05072212219238281
black,0.05008557438850403
melancholy,0.05001436173915863
remote,0.04854053631424904
cow,0.04850076511502266
orange,0.0481066070497036
eagle,0.04805156961083412
ugliness,0.047217510640621185
fork,0.04680939391255379
tiger,0.04671647027134895
sophistication,0.04626983404159546
chicken,0.04583005607128143
snake,0.04559312015771866
olive,0.04555831104516983
serious,0.045460302382707596
laptop,0.043278586119413376
anxious,0.042844612151384354
dramatic,0.042046140879392624
cup,0.04195931926369667
wolf,0.0418836772441864
horse,0.04180939495563507
apple,0.04138413444161415
gloves,0.04037807881832123
watch,0.04031310975551605
spoon,0.040102288126945496
order,0.04006141051650047
sad,0.039601363241672516
war,0.03931193798780441
flying,0.03918244689702988
studying,0.03912027180194855
sleeping,0.03905559331178665
handbag,0.03872707858681679
shoes,0.03839414566755295
cake,0.038355764001607895
giraffe,0.038077883422374725
fish,0.03796476125717163
surfing,0.037857525050640106
baseball bat,0.036893121898174286
rat,0.03678521886467934
toothbrush,0.03656040132045746
bee,0.036361873149871826
running,0.03606744110584259
chaos,0.035705506801605225
abstract,0.035695746541023254
coat,0.03565886989235878
progress,0.035636842250823975
blue,0.0355023592710495
bottle,0.03538678586483002
bowl,0.03524240106344223
sheep,0.03507240116596222
bird,0.03485416993498802
artistic,0.0345299132168293
cell phone,0.03430933877825737
knife,0.03404157608747482
working,0.033965326845645905
eating,0.03386705368757248
cooking,0.0337526798248291
dog,0.033622466027736664
dolphin,0.03308146446943283
donut,0.03306185454130173
belt,0.0328088253736496
minimalist,0.032717373222112656
modern,0.032233234494924545
driving,0.032033853232860565
jumping,0.03200647979974747
gold,0.03179396688938141
jacket,0.031715795397758484
bear,0.031373441219329834
socks,0.0313335657119751
frog,0.03130251169204712
ring,0.031061161309480667
snowboard,0.03104638308286667
boots,0.030991971492767334
casual,0.030858105048537254
t-shirt,0.03076615184545517
bicycle,0.030736809596419334
brown,0.030669376254081726
green,0.030599378049373627
baseball glove,0.030130771920084953
professional,0.030008208006620407
broccoli,0.02990090474486351
tradition,0.029797308146953583
skis,0.02947046607732773
calm,0.029311874881386757
hamster,0.028779800981283188
lie,0.02871609479188919
whale,0.02865530550479889
classic,0.028651250526309013
lime,0.028523676097393036
peace,0.02844858542084694
pink,0.028355542570352554
pizza,0.02833067998290062
riding,0.028155045583844185
justice,0.027888474985957146
person,0.027791012078523636
energetic,0.027493372559547424
creative,0.026987116783857346
magenta,0.026911336928606033
freedom,0.026676572859287262
sandwich,0.026472799479961395
banana,0.0262373648583889
cat,0.026048382744193077
umbrella,0.02604733034968376
innovation,0.026003651320934296
rabbit,0.02587517723441124
glasses,0.02559916488826275
lion,0.025562383234500885
walking,0.02551065944135189
keyboard,0.025324789807200432
pants,0.025161616504192352
shorts,0.025109432637691498
surprised,0.025048818439245224
playing,0.025010451674461365
white,0.024933744221925735
reading,0.024894826114177704
climbing,0.02473597601056099
earrings,0.024244777858257294
necklace,0.024011246860027313
mouse,0.023781750351190567
scissors,0.02367515116930008
serene,0.023646429181098938
butterfly,0.023394882678985596
simplicity,0.02327756956219673
owl,0.02301492914557457
turtle,0.02268865704536438
futuristic,0.02268623188138008
love,0.022589173167943954
swimming,0.02256891131401062
duck,0.02242373302578926
surfboard,0.0222173985093832
skirt,0.022192087024450302
sunglasses,0.02205461449921131
realistic,0.02172481268644333
zebra,0.021637093275785446
excited,0.021213937550783157
book,0.02111860178411007
car,0.020873280242085457
truth,0.02047806791961193
cyan,0.02044691890478134
elegance,0.02027333527803421
contemporary,0.020269954577088356
chair,0.020139720290899277
sweater,0.019996171817183495
yellow,0.019857168197631836
fox,0.01979876309633255
complexity,0.019681919366121292
vintage,0.018934356048703194
silver,0.018923411145806313
hair dryer,0.018649093806743622
singing,0.01852470263838768
skateboard,0.017817460000514984
dress,0.017594609409570694
purple,0.01668916456401348
sandals,0.01665101945400238
shirt,0.016289636492729187
tie,0.016070472076535225
peaceful,0.01598135195672512
nostalgic,0.015722375363111496
dancing,0.014400782063603401
woman,0.014201626181602478
bed,0.013927625492215157
toilet,0.013866099528968334
clock,0.013833895325660706
bracelet,0.013832451775670052
carrot,0.013591773808002472
man,0.012809774838387966
suitcase,0.012537630274891853
jeans,0.012166890315711498
beauty,0.01169007271528244
retro,0.011361584067344666
formal,0.01112225092947483
elephant,0.011052176356315613
playful,0.010238222777843475
ornate,0.00998079963028431
red,0.00846116989850998
confident,0.007449677679687738
romantic,0.007158032618463039
kite,0.00514594279229641
happy,0.004821013659238815
rustic,0.0047295186668634415
elegant,0.004066756926476955
table,0.003535587340593338
